"","castaway_id","full_name","castaway","date_of_birth","date_of_death","gender","race","ethnicity","poc","occupation","personality_type"
"60","AU0060","Lydia Lassila","Lydia",NA,NA,"Female",NA,NA,NA,"Olympic Freestyle Skier",NA
"61","AU0061","Robbie Skibicki","Robbie",NA,NA,"Male",NA,NA,NA,"Construction Manager",NA
"62","AU0062","Samuel Hinton","Samuel",NA,NA,"Male",NA,NA,NA,"Astrophysicist",NA
"63","AU0063","Mat Rogers","Mat",1976-02-01,NA,"Male",NA,NA,NA,"Duel Code Football Legend",NA
"64","AU0064","Benji Wilson","Benji",NA,NA,"Male",NA,NA,NA,"Entrepreneur",NA
"65","AU0065","Steve Willis","Steve W.",1976-06-05,NA,"Male",NA,NA,NA,"Fitness Specialist",NA
"66","AU0066","Fenella McGowan","Fenella",NA,NA,"Female",NA,NA,NA,"Interior Designer",NA
"67","AU0067","Monika Radulovic","Monika",1990-09-21,NA,"Female",NA,NA,NA,"Miss Australia 2015",NA
"68","AU0068","Shonee Fairfax","Shonee",1992-04-26,NA,"Female",NA,NA,NA,"Personal Assistant",NA
"69","AU0069","Brian Lake","Brian",1982-02-27,NA,"Male",NA,NA,NA,"Former AFL Star",NA
"70","AU0070","Sharn Coombes","Sharn",NA,NA,"Female",NA,NA,NA,"Criminal Barrister",NA
"71","AU0071","Shane Gould","Shane",1956-11-23,NA,"Female",NA,NA,NA,"Olympic Swimming Legend",NA
"72","AU0072","Anastasia Woolmer","Anastasia",NA,NA,"Female",NA,NA,NA,"Memory Champion",NA
"73","AU0073","Laura Choong","Laura",NA,NA,"Female","Asian",NA,NA,"Digital Marketing Manager",NA
"74","AU0074","Susie Maroney","Susie",1974-11-15,NA,"Female",NA,NA,NA,"Marathon Swimmer",NA
"75","AU0075","Nova Peris","Nova",1971-02-25,NA,"Female","Aboriginal or Torres Strait Islander",NA,NA,"Former Politician/Olympian",NA
"76","AU0076","Steven Bradbury","Steven",1973-10-14,NA,"Male",NA,NA,NA,"Olympic Gold Medalist",NA
"77","AU0077","Andrew Ettingshausen","ET",1965-10-29,NA,"Male",NA,NA,NA,"NRL Legend",NA
"78","AU0078","Sam Schoers","Sam",NA,NA,"Female",NA,NA,NA,"VIP Gaming Manager",NA
"79","AU0079","Sarah Ayles","Sarah",NA,NA,"Female",NA,NA,NA,"Cleaner",NA
"80","AU0080","Hannah Pentreath","Hannah",NA,NA,"Female",NA,NA,NA,"Police Officer",NA
"81","AU0081","Casey Hawkins","Casey",NA,NA,"Female",NA,NA,NA,"Educator",NA
"82","AU0082","Matt Farrelly","Matt",1990-03-21,NA,"Female",NA,NA,NA,"High School Teacher/Pro Wrestler",NA
"83","AU0083","Ross Clarke-Jones","Ross",1966-06-06,NA,"Male",NA,NA,NA,"Big Wave Surfer",NA
"84","AU0084","Andy Meldrum","Andy",NA,NA,"Male",NA,NA,NA,"Marketing Executive",NA
"85","AU0085","Shaun Hampson","Shaun",1988-03-21,NA,"Male",NA,NA,NA,"Retired AFL Player",NA
"86","AU0086","David Genat","David",NA,NA,"Male",NA,NA,NA,"International Model",NA
"87","AU0087","John Eastoe","John",NA,NA,"Male",NA,NA,NA,"Gold Miner",NA
"88","AU0088","Daisy Richardson","Daisy",NA,NA,"Female",NA,NA,NA,"Travel Agent",NA
"89","AU0089","Simon Black","Simon",1979-04-03,NA,"Male",NA,NA,NA,"AFL Superstar",NA
"90","AU0090","Janine Allis","Janine",NA,NA,"Female",NA,NA,NA,"CEO Powerhouse",NA
"91","AU0091","Abbey Holmes","Abbey",1991-01-07,NA,"Female",NA,NA,NA,"AFL Premiership Winner",NA
"92","AU0092","Harry Hills","Harry",NA,NA,"Male",NA,NA,NA,"Ice Cream Maker",NA
"93","AU0093","Baden Gilbert","Baden",NA,NA,"Male",NA,NA,NA,"Student",NA
"94","AU0094","Pia Miranda","Pia",1973-06-15,NA,"Female",NA,NA,NA,"Leading Actor",NA
"95","AU0096","Phil Ferguson","Phil",NA,NA,"Non-binary",NA,NA,NA,"Artist",NA
"96","AU0097","Janelle Durso","Janelle",NA,NA,"Female",NA,NA,NA,"Cleaner",NA
"97","AU0098","Gavin Wanganeen","Gavin",1973-06-18,NA,"Male","Aboriginal or Torres Strait Islander",NA,NA,"AFL legend",NA
"98","AU0099","Binyamin Burdo","Benny",NA,NA,"Male",NA,NA,NA,"Entrepreneur",NA
"99","AU0100","Mitchell Shaw","Mitch",NA,NA,"Male",NA,NA,NA,"Doctor",NA
"100","AU0101","Joey McCann","Joey",NA,NA,"Male",NA,NA,NA,"Head of Partnerships",NA
"101","AU0102","Daini Tuiqere","Daini",NA,NA,"Male","Fijian and Maori",NA,NA,"Personal Trainer",NA
"102","AU0103","Shannon Lawson","Shannon",NA,NA,"Female",NA,NA,NA,"Model",NA
"103","AU0104","Georgia Ray","Georgia",NA,NA,"Female",NA,NA,NA,"Forensic Psychologist",NA
"104","AU0105","Rachel Downie","Rachel",NA,NA,"Female",NA,NA,NA,"Teacher/Businesswoman",NA
"105","AU0106","Simon Mee","Simon",NA,NA,"Male",NA,NA,NA,"Carpenter",NA
"106","AU0107","Kerryn McGee","Kez",NA,NA,"Female",NA,NA,NA,"Bodybuilder",NA
"107","AU0108","Chelsea Hackett","Chelsea",1999-10-29,NA,"Female",NA,NA,NA,"MMA Figher",NA
"108","AU0109","Baden Cooke","Baden",NA,NA,"Male",NA,NA,NA,"Ex-Pro Cyclist",NA
"109","AU0110","Gerald Youles","Gerald",NA,NA,"Male",NA,NA,NA,"Champion Wood Chopper",NA
"110","AU0111","Laura Wells","Laura",NA,NA,"Female",NA,NA,NA,"Environmental Advocate",NA
"111","AU0112","Emmett Pugh","Emmett",NA,NA,"Male",NA,NA,NA,"Health Coach",NA
"112","AU0113","Andrew Ucles","Andrew",NA,NA,"Male",NA,NA,NA,"Survival Expert",NA
"113","AU0114","Dani Beale","Dani",NA,NA,"Female",NA,NA,NA,"Corrections Officer",NA
"114","AU0115","Wai Chim","Wai",1982-12-13,NA,"Female","Chinese-American",NA,NA,"Author",NA
"115","AU0116","Cara Atchison","Cara",NA,NA,"Female",NA,NA,NA,"Real Estate Agent",NA
"116","AU0117","Felicity Palmateer","Flick",1992-08-04,NA,"Female",NA,NA,NA,"Big Wave Surfer",NA
"117","AU0118","George Mladenov","George",NA,NA,"Male",NA,NA,NA,"Public Surfer",NA
"118","AU0119","Hayley Leake","Hayley",NA,NA,"Female",NA,NA,NA,"Pain Researcher",NA
"119","AU0120","Amy Ong","Amy",NA,NA,"Female",NA,NA,NA,NA,"INFJ"
"120","AU0121","Ben Watson","Ben",NA,NA,"Male",NA,NA,NA,NA,"ISTP"
"121","AU0122","Croc Crocker","Croc",NA,NA,"Male",NA,NA,NA,NA,NA
"122","AU0123","David Goodchild","David",NA,NA,"Male",NA,NA,NA,NA,NA
"123","AU0124","Jay Bruno","Jay",NA,NA,"Male",NA,NA,NA,NA,NA
"124","AU0125","Jesse Hansen","Jesse",NA,NA,"Male",NA,NA,NA,NA,"ISFJ"
"125","AU0126","Jordan Schmidt","Jordan",NA,NA,"Male",NA,NA,NA,NA,"ISTP"
"126","AU0127","Kate Tatham","Kate",NA,NA,"Female",NA,NA,NA,NA,NA
"127","AU0128","Michelle Chiang","Michelle",NA,NA,"Female",NA,NA,NA,NA,NA
"128","AU0129","Sophie Cachia","Sophie",NA,NA,"Female",NA,NA,NA,NA,"ENTJ"
"129","AU0130","Alex Frost","Alex",NA,NA,"Male",NA,NA,NA,NA,"INFP"
"130","AU0131","Briana Goodchild","Briana",NA,NA,"Female",NA,NA,NA,NA,"ESFP"
"131","AU0132","Chrissy Zaremba","Chrissy",NA,NA,"Female",NA,NA,NA,NA,NA
"132","AU0133","Jordie Hansen","Jordie",NA,NA,"Male",NA,NA,NA,NA,"ESFP"
"133","AU0134","Josh Millgate","Josh",NA,NA,"Male",NA,NA,NA,NA,"ISTJ"
"134","AU0135","Khanh Ong","Khanh",NA,NA,"Male",NA,NA,NA,NA,"ENFP"
"135","AU0136","Kate Austin","KJ",NA,NA,"Female",NA,NA,NA,NA,"ISFJ"
"136","AU0137","Mel Chiang","Mel",NA,NA,"Female",NA,NA,NA,NA,NA
"137","AU0138","Nina Twine","Nina",1997-06-16,NA,"Female",NA,NA,NA,NA,NA
"138","AU0139","Shayelle Lajoie","Shay",NA,NA,"Female",NA,NA,NA,NA,"ISFP"
"139","AU0140","Anjali Rao","Anjali",NA,NA,"Female",NA,NA,NA,"Broadcaster",NA
"140","AU0141","Benjamin Law","Ben",NA,NA,"Male","Asian",NA,NA,"Author",NA
"141","AU0142","David Zaharakis","David",1990-02-21,NA,"Male",NA,NA,NA,"Former AFL Player",NA
"142","AU0143","Fraser Lack","Fraser",NA,NA,"Male",NA,NA,NA,"Real Estate Agent",NA
"143","AU0144","Gerry Geltch","Gerry",1960-10-18,NA,"Male",NA,NA,NA,"Tourism Pilot",NA
"144","AU0145","Liz Parnov","Liz",1994-05-09,NA,"Female",NA,NA,NA,"Olympic Pole-vaulter",NA
"145","AU0146","Matt Sharp","Matt",NA,NA,"Male",NA,NA,NA,"Lifeguard",NA
"146","AU0147","Michael Warren","Michael",NA,NA,"Male",NA,NA,NA,"Journalist",NA
"147","AU0148","Mimi Tang","Mimi",NA,NA,"Female","Asian",NA,NA,"Luxury Car PR Manager",NA
"148","AU0149","Paige Donald","Paige",NA,NA,"Female",NA,NA,NA,"Outback Jillaroo",NA
"149","AU0150","Rogue Rubin","Rogue",NA,NA,"Female",NA,NA,NA,"Film Director",NA
"150","AU0151","Sarah Marschke","Sarah",NA,NA,"Female",NA,NA,NA,"Former Miss World Australia",NA
"151","AU0152","Sharni Vinson","Sharni",1983-07-22,NA,"Female",NA,NA,NA,"Actress",NA
"152","NZ0001","Hannah Gough","Hannah",NA,NA,"Female",NA,NA,NA,"Kindergarten Teacher",NA
"153","NZ0002","Deanna Cambioso","Dee",NA,NA,"Female","European/Chilean",NA,NA,"Customer Service Representative",NA
"154","NZ0003","Anthony Deane","Tony",NA,NA,"Male",NA,NA,NA,"Army Veteran",NA
"155","NZ0004","Isabel Pearson","Izzy",NA,NA,"Female",NA,NA,NA,"Oil Rig Steward",NA
"156","NZ0005","Louisa McClintock","Lou",NA,NA,"Female",NA,NA,NA,"Farmer",NA
"157","NZ0006","Georgia Bergerson","Georgia",NA,NA,"Female",NA,NA,NA,"Singer/Dancer",NA
"158","NZ0007","Shayna Swain-Tapusoa","Shay",NA,NA,"Female","Samoan",NA,NA,"Business Support Coordinator",NA
"159","NZ0008","Leandro Den Haan","Lee",NA,NA,"Male","Dutch/Filipino",NA,NA,"Canyoning Guide",NA
"160","NZ0009","Michael Sparrow","Mike",NA,NA,"Male",NA,NA,NA,"Business Analyst",NA
"161","NZ0010","Matai'a Salatielu Tiatia","Sala",NA,NA,"Male","Samoan",NA,NA,"Youth Worker",NA
"162","NZ0011","Jakob Thomas","Jak",NA,NA,"Male",NA,NA,NA,"Banking Consultant",NA
"163","NZ0012","Shannon Quinn","Shannon",NA,NA,"Female","European/Maori",NA,NA,"Zookeeper",NA
"164","NZ0013","Nathan Davis","Nate",NA,NA,"Male","Maori",NA,NA,"Senior Police Sergeant",NA
"165","NZ0014","Barbara Raos","Barb",NA,NA,"Female",NA,NA,NA,"Mother",NA
"166","NZ0015","Thomas Paterson","Tom",NA,NA,"Male","Maori",NA,NA,"Teacher",NA
"167","NZ0016","Avi Duckor-Jones","Avi",NA,NA,"Male",NA,NA,NA,"Youth Expedition Leader",NA
"168","SA0001","Don Soper","Don",1951-12-22,NA,"Male",NA,NA,NA,"Businessman",NA
"169","SA0002","Sam Allerton","Sam",1976-12-08,NA,"Male",NA,NA,NA,"Sculptor",NA
"170","SA0003","Jude Wilken","Jude",1967-12-16,NA,"Female",NA,NA,NA,"Hostage Negotiator",NA
"171","SA0004","Ncumisa Ngcaweni","Ncumisa",1976-12-01,NA,"Female",NA,NA,NA,"Skills Trainer",NA
"172","SA0005","Sanele Gumede","Sanele",1979-12-01,NA,"Male",NA,NA,NA,"Brand Manager",NA
"173","SA0006","Danielle Vukic","Danielle",1971-12-26,NA,"Female",NA,NA,NA,"Fashion Producer",NA
"174","SA0007","Nico Hinis","Nico",1963-12-14,NA,"Male",NA,NA,NA,"Restauranteur",NA
"175","SA0008","Brigitte Willers","Brigitte",1980-12-17,NA,"Female",NA,NA,NA,"Sports Model",NA
"176","SA0009","Mzi Tyhokolo","Mzi",1975-12-16,NA,"Male",NA,NA,NA,"Energy Advisor",NA
"177","SA0010","Vanessa Marawa","Vanessa",1979-12-18,NA,"Female",NA,NA,NA,"Estate Agent",NA
"178","SA0011","Lezel Crook","Lezel",1978-12-03,NA,"Female",NA,NA,NA,"Attorney",NA
"179","SA0012","Gareth Tjasink","Gareth",1979-12-05,NA,"Male",NA,NA,NA,"Medical Doctor",NA
"180","SA0013","Zayn Nabbi","Zayn",1982-12-04,NA,"Male",NA,NA,NA,"Journalist",NA
"181","SA0014","Jacinda Louw","Jacinda",1981-12-04,NA,"Female",NA,NA,NA,"Entrepreneur",NA
"182","SA0015","Nomfundo Vilokazi","Nomfundo",1980-05-03,NA,"Female",NA,NA,NA,"Chemical Engineer",NA
"183","SA0016","Nicola Windt","Nicola",1970-06-12,NA,"Female",NA,NA,NA,"Dairy Farmer",NA
"184","SA0017","Viwe Soga","Viwe",1983-12-18,NA,"Male",NA,NA,NA,"Candidate Attorney",NA
"185","SA0018","Elise Smith","Elise",1983-01-18,NA,"Female",NA,NA,NA,"Hotel Manager",NA
"186","SA0019","Nichal Ramchander","Nichal",1982-03-05,NA,"Male",NA,NA,NA,"Sales and Marketing Manager",NA
"187","SA0020","Rijesh Govender","Rijesh",1977-06-22,NA,"Male",NA,NA,NA,"Sales Executive",NA
"188","SA0021","Lisa Atkinson","Lisa",1985-10-21,NA,"Female",NA,NA,NA,"Student",NA
"189","SA0022","Irshaad Ally","Irshaad",1978-03-01,NA,"Male",NA,NA,NA,"Graphic Designer",NA
"190","SA0023","Hein Vosloo","Hein",1960-07-02,NA,"Male",NA,NA,NA,"Rural Developer",NA
"191","SA0024","Dyke Higginson","Dyke",1979-06-11,NA,"Male",NA,NA,NA,"Landscaper",NA
"192","SA0025","Angela Beck","Angela",1983-11-16,NA,"Female",NA,NA,NA,"Modelling Coach",NA
"193","SA0026","Angie Bennett","Angie",1977-07-15,NA,"Female",NA,NA,NA,"Boot Camp Instructor",NA
"194","SA0027","Mandla Mbau","Mandla",1970-09-14,NA,"Male",NA,NA,NA,"Marketing Manager",NA
"195","SA0028","Amanda Hoosen","Amanda",1977-10-05,NA,"Female",NA,NA,NA,"Head of Internal Audit",NA
"196","SA0029","Grant Clark","Grant",1972-05-05,NA,"Male",NA,NA,NA,"Martime Lawyer",NA
"197","SA0030","Lorette Mostert","Lorette",1971-08-21,NA,"Female",NA,NA,NA,"Police Superintendent",NA
"198","SA0031","Christina Storm","Christina",1974-04-01,NA,"Female",NA,NA,NA,"Actress and Model",NA
"199","SA0032","Garth Collins","Garth",1967-01-16,NA,"Male",NA,NA,NA,"Actor",NA
"200","SA0033","Jub Jub Maarohanye","Jub Jub",1980-06-29,NA,"Male",NA,NA,NA,"Musician",NA
"201","SA0034","Cindy Nell","Cindy",1981-10-01,NA,"Female",NA,NA,NA,"Presenter",NA
"202","SA0035","Craig Jacobs","Craig",1974-08-21,NA,"Male",NA,NA,NA,"Fashion Designer",NA
"203","SA0036","Lady Lea Moscou Barrett","Lady Lea",1980-04-21,NA,"Female",NA,NA,NA,"DJ",NA
"204","SA0037","Darren Maule","Darren",1972-06-09,NA,"Male",NA,NA,NA,"Comedian",NA
"205","SA0038","Sandi Schultz","Sandi",1964-01-19,NA,"Female",NA,NA,NA,"Actress",NA
"206","SA0039","Hanna Grobler","Hanna",1982-01-15,NA,"Female",NA,NA,NA,"Actress",NA
"207","SA0040","Louw Venter","Louw",1975-08-16,NA,"Male",NA,NA,NA,"Actor",NA
"208","SA0041","Okkert Brits","Okkert",1973-08-22,NA,"Male",NA,NA,NA,"Sportsman",NA
"209","SA0042","Gys de Villiers","Gys",1960-11-04,NA,"Male",NA,NA,NA,"Actor",NA
"210","SA0043","Izak Davel","Izak",1983-07-01,NA,"Male",NA,NA,NA,"Actor",NA
"211","SA0044","Kaseran Pillay","Kaseran",1976-01-05,NA,"Male",NA,NA,NA,"Comedian",NA
"212","SA0045","Sade Giliberti","Sade",1985-04-17,NA,"Female",NA,NA,NA,"Presenter",NA
"213","SA0046","ProVerb Thekisho","ProVerb",1981-04-12,NA,"Male",NA,NA,NA,"Recording Artist",NA
"214","SA0047","Ashley Hayden","Ashley",1967-11-04,NA,"Female",NA,NA,NA,"Presenter",NA
"215","SA0048","GiGi van Schalkwyk","GiGi",1967-08-28,NA,"Female",NA,NA,NA,"Exotic Dancer",NA
"216","SA0049","Lukhanyo Nontshinga","Lukhanyo",1983-09-24,NA,"Male",NA,NA,NA,"Pro Rugby Player",NA
"217","SA0050","Philicity Reeken","Philicity",1979-10-18,NA,"Female",NA,NA,NA,"Actress",NA
"218","SA0051","Tshepo Maseko","Tshepo",1974-03-07,NA,"Male",NA,NA,NA,"Actor",NA
"219","SA0052","Tasleem Vally","Tasleem",NA,NA,"Female",NA,NA,NA,"Make-Up Artist",NA
"220","SA0053","Carmel Fisher","Carmel",1981-07-17,NA,"Female",NA,NA,NA,"Actress",NA
"221","SA0054","Jacques Terre'Blanche","Jacques",1982-12-01,NA,"Male",NA,NA,NA,"Musician",NA
"222","SA0055","Sindi Lukhele","Sindi",NA,NA,"Female",NA,NA,NA,"Events Coordinator",NA
"223","SA0056","Vanessa Haywood","Vanessa",NA,NA,"Female",NA,NA,NA,"Actress",NA
"224","SA0057","Roxy Burger","Roxy",1986-12-07,NA,"Female",NA,NA,NA,"Presenter",NA
"225","SA0058","Harry Wiggins","Harry",NA,NA,"Male",NA,NA,NA,"Maths Lecturer",NA
"226","SA0059","Simon Coetzer","Simon",NA,NA,"Male",NA,NA,NA,"HR Consultant",NA
"227","SA0060","Malusi Mbambo","Malusi",NA,NA,"Male",NA,NA,NA,"Business Development Consultant",NA
"228","SA0061","Tejan Pillay","Tejan",NA,NA,"Male",NA,NA,NA,"Engineer",NA
"229","SA0062","Sean September","Sean",NA,NA,"Male",NA,NA,NA,"Lawyer",NA
"230","SA0063","Alison de Chazal","Alison",NA,NA,"Female",NA,NA,NA,"Mother",NA
"231","SA0064","Mxolisi Lokwe","Mxo",NA,NA,"Male",NA,NA,NA,"Musician",NA
"232","SA0065","Bonnie Henna","Bonnie",1979-03-18,NA,"Female",NA,NA,NA,"Actress",NA
"233","SA0066","Letshego Moshoeu","Letshego",1984-08-23,NA,"Female",NA,NA,NA,"Biokeniticist",NA
"234","SA0067","Hykie Berg","Hykie",1978-05-02,NA,"Male",NA,NA,NA,"Actor",NA
"235","SA0068","Ashleigh Bryant","Ashleigh",NA,NA,"Female",NA,NA,NA,"High School Teacher",NA
"236","SA0069","Marsha Wessels","Marsha",NA,NA,"Female",NA,NA,NA,"Army Sports Officer",NA
"237","SA0070","Killarney Jones","Killarney",NA,NA,"Female",NA,NA,NA,"Martial Artist",NA
"238","SA0071","Zan Lang","Zan",NA,NA,"Male",NA,NA,NA,"Vehicle Salesman",NA
"239","SA0072","Shona Macdonald","Shona",NA,NA,"Female",NA,NA,NA,"Account Manager",NA
"240","SA0073","Philip Dickson","Phil",NA,NA,"Male",NA,NA,NA,"Firefighter",NA
"241","SA0074","Gena Alkana","Gena",NA,NA,"Female",NA,NA,NA,"PR Manager",NA
"242","SA0075","Sonette Myburgh","Sonette",NA,NA,"Female",NA,NA,NA,"Mortuary Assistant",NA
"243","SA0076","Stephen Walker","Stephen",NA,NA,"Male",NA,NA,NA,"Business Analyst",NA
"244","SA0077","Marian de Vos","Marian",NA,NA,"Female",NA,NA,NA,"Entrepreneur",NA
"245","SA0078","Solly Mathiba","Solly",NA,NA,"Male",NA,NA,NA,"Sports Manager",NA
"246","SA0079","Moyra Makina","Moyra",NA,NA,"Female",NA,NA,NA,"HR Director",NA
"247","SA0080","Vel Bodiba","Vel",1987-07-14,NA,"Female",NA,NA,NA,"Actress",NA
"248","SA0081","Shane Hattingh","Shane",NA,NA,"Male",NA,NA,NA,"Media Salesman",NA
"249","SA0082","Altaaf Sheik","Altaaf",NA,NA,"Male",NA,NA,NA,"SAAF Helicopter Pilot",NA
"250","SA0083","Zavion Kotze","Zavion",NA,NA,"Male",NA,NA,NA,"Wedding Planner",NA
"251","SA0084","David de Wet","David",NA,NA,"Male",NA,NA,NA,"Farrier",NA
"252","SA0085","Sivu Xabanisa","Sivu",NA,NA,"Male",NA,NA,NA,"Astrophysics Student",NA
"253","SA0086","Buhle Madlala","Buhle",NA,NA,"Female",NA,NA,NA,"Events Planner",NA
"254","SA0087","Graham Jenneker","Graham",NA,NA,"Male",NA,NA,NA,"Financial Manager",NA
"255","SA0088","Seamus Holmes","Seamus",NA,NA,"Male",NA,NA,NA,"Property Broker",NA
"256","SA0089","Neil Voller","Neil",NA,NA,"Male",NA,NA,NA,"HR Executivee",NA
"257","SA0090","Stacey-Lee Valentyn","Stacey-Lee",NA,NA,"Female",NA,NA,NA,"Business Analyst",NA
"258","SA0091","Adrian Chetty","Ace",NA,NA,"Male",NA,NA,NA,"Graphic Designer",NA
"259","SA0092","Murishca Martheze","Murishca",NA,NA,"Female",NA,NA,NA,"Marketing Manager",NA
